driver,radio_message,sentiment
1,"Okay, first thing is weather update. That cell that I said could be hitting in around 10 laps into the race that looked quite short and sharp, that is maybe breaking up a little bit or at least reducing in intensity, so I'll keep you updated over the first 4 or 5 laps of the race. May well be something we could drive through at this stage now, whereas the board is looking like it. We're looking at a requirement for a switch to it as... Okay, formation lap procedure. Mode 12 for the dummy launch. Fit limiter off and a static 5.5 once the car is on the ground. Carrier, you practice, start to serve here as normal and then through the formation lap, target as much tyre warming as possible. We'll lift the coast into turn 13 and after turn 13, no more than 50% removal. In turn the burn out from the left-hand side fire marshal post. That's just before the final painted grid spot. So the left-hand side fire marshal post. We are looking for four long burn outs, four long burn outs and an extra ramp rather than closing down into your star position. So at least 4.5, any changes I will communicate to you. Indeed, we're at least 5-inch�목ly biodiversity office, are management core Fir판 times as possible. In makes this permanent tub is really transparent. There is no救encerż редantasie which you would prefer to рук 제ā ate sind住ě.",
1,"You can live with it, stay up. You need to tell me the radar. Yeah, I'm just a fact. I think we'll be at this lap, Max.",
1,"Okay, so all cars are now back on slicks. Car behind is Checo at 3 seconds. So think about the time management please, Max. Time management.",
1,"Delta lap times, Checo, 2.5 tenths. There's another 2.5 tenths worth of saving that you're doing in 7.8, which is working well, so keep it up.",
1,Dockercloud is coming in.,
1,"Okay Max, expecting some very light rain in around 5-6 minutes. It will hit turn 8 and 13, but it is very light.",
1,"Max, I will say it again, there is no merit at this stage in being within one second of Ocon. Sainz is still doing 40.3s. We've been here before, we've been hurt before. You might not think you are pushing Max, but the effective V-ratio as we've seen before is very low.",
1,Nice and aggressive on the tyres during this formation lap.,
1,So driving on ice. Understood.,
1,"Oh! There's a lizard again on the track. A smaller one this time. Okay, understood. Maybe Godzilla had a kid. I mean, that makes sense.",
1,"Okay, quite aggressive downshifts. And I struggle with mid to exit all the time. A lot of movies there, in every corner basically.",
1,"In the low speed, from back steering to opening up, I just have no traction and no open steer. Understood.",
10,"So at the moment, how's the track? Right, it's tricky.",
10,You guys need to do something for them. I can't catch it in the air.,
10,"That's not normal, check my engine.",
10,"I'm just seeing the flags next to me. Seems more like a headwind on to turn 4, right? Yeah, it's a little bit variable, these flags and then the big flags behind you, but yeah.",
10,"Check the brake, problem with the brakes. Copy, we're looking.",
10,Southpaw behind is Hamilton.,
10,So let's be careful with turn 10-11 at this point please.,
10,"Okay mate, so we've got three warnings now for turn 10 and 11, so be very careful there please.",
10,"So a quick update, so Sainz has some front wing damage he touched with Esteban.",
10,"I have to go over the debris before the entry, just check the tires please. Yep, we're looking at it.",
10,"To go over the debris before the entry, just check the tyres please. Yep, we're looking at it.",
10,"Nice job so far, clearing a few cars behind. Next group of cars is Piastri and De Vries in P11 that we need to clear.",
10,"So this rain is 2 minutes away, duration is about 50 minutes.",
10,"I can't really see a thing in the street Okay we got a yellow turn one, yellow turn one Press off",
10,So mid 3 is available the three is available press on the investigation for speeding in the pit lane So you want to stay within five seconds if you can,
10,"Zilla is back. Yeah, copy.",
11,"some drops. There's nothing on the radar at the moment, maybe 30 minutes away, some drops. There's nothing on the radar at the moment, maybe 30 minutes away, some drops.",
11,"Generally, the traction is going off.",
11,"Okay, so no threats behind, you can exaggerate the tyre management.",
11,okay check out so preference soft versus medium,
11,"Reminder, we can't be impeding anyone, can stay to the left.",
11,Do effectively a formation lap to the grid and then standing start.,
11,Why do we follow them? We should do our race. Don't worry about them. You've got the pace.,
11,"It's so push me off. Yeah, I saw that. What the f*** with that? Are you not allowed?",
11,"If I had a damage, Nico just break-tested me.",
11,Could you have me right?,
11,"When you can, engine 13, position 4, plus 1.",
11,"There's a yellow ahead, yellow on the entry to turn two, some debris.",
11,"Front left main concern, watch the lock here.",
11,There's a risk of rain towards the end of the race. People might be trying to hang on for that.,
11,So stay with Max.,
11,"OK, check it. So we've got the inter-tyre fitted. Everyone is on the inter.",
11,"Okay, we're seeing a strong tailwind into turn 10. Think about the push toggle for turn 10.",
11,"Okay, gap to Russell, 14 seconds. Russell, the first car on the slick tyre.",
11,"Did Max undercut us? Yes, Max undercut us.",
11,"Okay, so there's light rain on the staff in the straight. This is as bad as it will get.",
11,"Is there more rain expected? There are cells on the radar, first one 35 minutes away.",
11,"So it will be flat A, no? From here. Yeah, there might be some rain in 15 laps, I guess 25 laps. Hard to say how strong that will be at this point.",
11,"Hamilton, run off the track. Yeah, we saw it. Come on, give me the position now.",
11,"Let's box, let's box, Alexa box. Stay out, stay out.",
11,"Track slippery at turn 9 to 10. The lizard is still in the area. I don't see him. Between 9 and 10. Ah, yeah. On the entry I saw him. He was taking the sunshine.",
11,"I struggled to see the apexes, so I might need to come up a bit with the seat.",
14,"So all cars are staying out, all okay.",
14,"So Norris is on already eight lap old soft, so he's probably going to stop again. We can come through these cars even if we let them come through our pit window.",
14,"Okay, Fernandez, so we're still on plan A. Plan A. Copy. Agree.",
14,"Happy for the romance? Yeah, happy. No problem with having a long race, mate. Yeah, copy mate, yeah. Agreed. Perez is the race now.",
14,"Yeah, so we can extend a little bit, but yeah, use the pace you've got now, it's good.",
14,okay my push and hold push and hold you got loads of energy hold it down,
14,"I cannot push any harder than this, so at least whatever position we are in is the maximum. The staff is done, mate, sorry, by eight hundredths. Yeah, well done guys, don't be disappointed, this is magic. Yeah, well done mate. Yeah, imagine, two months ago if we think about this, so well done everyone.",
14,So in about five laps we'll start nibbling at the back of those guys.,
14,"So what are the threats, basically? So mainly rain in about 15 laps potentially.",
14,"So Verstappen has mentioned a bit of rain, small spots of rain turn six to eight.",
14,"Yeah, I will do. So last lap, Ockham was 2.2 seconds slower than you. He's got a lot of pressure from the two Mercedes behind him.",
14,The most damage is done after the tunnel breaking for 10 and the last two corners. That's where you do the most damage to the tarts.,
14,So we really think the best place to save some tyre temp is 1314 and exit of the last corner traction.,
14,"Fire temps. Tell me when they stabilise. Yeah, copy will do, not yet.",
14,"Which axle you're wearing? Fernando, it's all about the rears, the left rear, it's all about that, so we're happy to use the fronts to protect the rears.",
14,Maybe puncher on the left right,
14,All looks okay. On the front. All okay. All okay.,
14,"Do you have some contact, Fernando? Negative. Yep. Everything's looking okay here, Fernando. Everything looking okay?",
14,"So there is a small chance of rain in about 10 laps. I'll keep you updated. Good job mate, good job. Good puppy. Good job guys. Got it flying.",
14,"When the rain comes, it will be heavier than the start of the race.",
14,"Yeah, level zero is good Fernando. I'm sure there will be rain.",
14,So maybe in 8 minutes there's some very light terrain but nothing serious.,
14,"So possible debris, turn 11 and 12 ahead. Possible debris, 11 and 12.",
14,A little bit of rain about five minutes away. We're not totally sure how hard it is but there will definitely be some at the start of the race.,
14,So we expect the heaviest rain that's going to come will hit sector 3 in about one minute time so it could be on this first lap. We'll keep you updated. So keep an eye on your grid box position when you line up.,
14,"Very wet here. Yeah, it's raining a bit harder now in the pit lane. We are ready. It's only two or three minutes this. Two or three minutes.",
14,At the moment we will be faster in this. Yeah definitely I think. We only expect two or three minutes of this but it's definitely wet now. Okay so we can wait I don't know. Okay so we think it's getting lighter now. Can we survive it do you think? Definitely survive yes. So definitely KM411 now. Smooth tarmac. Okay it's you let us know as you come in but it's still raining a bit and a bit lighter. Yeah I think I don't know I can survive. It's one minute or so you can follow those other cars.,
14,"It was ghastly and zoom, I don't know where Perez comes from. Yeah, so everybody's on soft tyres except Joe. Joe was on the mediums. Okay, but Perez was not in our fight.",
14,"Just while we've got time, just take your aerobalance thoughts on that first part, Norris. I think it was okay. Probably, Norris.",
14,"Okay, so you're doing similar lap times to Gasly. Paris has pulled away a little bit. That rain we talked about earlier is about 15 minutes away, but it's very light, so we don't think it'll affect.",
14,"So, Russell's the only car on hard tyres, he's dropping back his P17 and not making his way through cars. Okay, give me an update on the weather and the darkest hours.",
14,"We need to wait for Gasly to pit in case he gets a safety cut lag or something. Yeah, exactly. Gasly has pitted now. Gasly's just pitted. Won't be long now for us.",
16,"So, top four we are on soft. First one on medium is Piastri. Seven cards total with medium. And no one hard.",
16,"Weather update, so light rain expected in 5 minutes, arriving from turn 14 and lasting around 10 minutes.",
16,and this rain will last for around 10 minutes,
16,"Good job. Lieutenant, good job. Well managed.",
16,"No, I lost the hydraulics. I lost the hydraulics. Why the f*** am I so unlucky? Why the f*** am I so unlucky?",
16,"The hydraulics came back, the engine switched off. Why am I so unlucky?",
16,"and Inter is the right tyre, so continue like this, you are doing a good job Russell lap time 43.5",
16,and flap update when you can ok,
16,and push now everything you have,
16,"and more rain expected in six laps, light intensity",
16,"So slightly better than previous lap, slower everywhere, just turn 10, you were faster than him. But we are talking small, something small. And we have wind phase 7 to 8, similar to FP2.",
16,"Yeah, the exit of turn one is not the limit. So whatever, I'm struggling with the rear.",
16,And we are expecting drops to a light shower in around 10 minutes.,
16,so the situation is getting worse so we retire the car we retire,
16,I think Carlos is clogged up. Copy understood.,
16,"GAP2S, target 3.",
16,"So, gap two signs in front, 2.3 and we need 5 seconds in 5 laps.",
16,What happened there? We had to hold you for traffic.,
16,"Both Mercedes pitted, new medium. I think it is the right choice. Consider Ivan Lapleta. We'll come back to you. So we are staying out.",
16,"Yeah, the rear ride guy is here, he's completely gone.",
16,I'm just trying not to put it in the world. Copy that.,
16,"And target gap to Sainz, we need 3 seconds. At the moment it's 1.0.",
16,I feel some instability and off braking. Do you think the last lap was going in the right direction? I will come back to you.,
18,"So, Eau Rouge is a bit wet from Fernando. Russell just fitted slicks. Russell exiting the pits, new slicks. This is not going to be long, Lance. It's about surviving.",
18,"Lance, soft or medium? Medium.",
18,"That was good, we need this to get these tyres to the end. Norris, same situation as you. We're P8, we're trying to get to the end. Come on!",
18,"Copy that, Lance. Starting to struggle with tyres. Copy that, Lance.",
18,I don't understand what's taking so long. It's so obvious he cut the chicane. It's like ridiculous.,
18,"Okay, Lance, it was very clear to us. The stewards are investigating. It's under investigation.",
18,20 target minus 20,
18,"So much contact, man. And this is a disaster.",
18,"Okay Lance that was within our numbers, turn 7 management, turn 7 management was within our targets, there's a strong tailwind there. It's 15 up to 20 kph in 7 tailwind.",
18,"Okay, Lance, 13 to go, 13 to go. Other teams thinking extreme wet. It could be extreme wet. We're considering it. We'll start it, Terrain.",
18,"Still expecting two laps behind the safety car lines. Keep the tyre temps up as much as you can, tyres and brakes.",
18,"Okay, Lance, make some space before turn one and then lean on the tyres up to turn two.",
18,Raining hard at Torque 11.,
18,"One switch cool Lance, one switch cool, keep your delta positive. So if you can't phase out we should fit hard. We've done 18 laps Lance, long way to go, there's more rain coming. Yeah. Jun feels this is the best tyre for the conditions, we think this is the best tyre for the conditions and the context of the race. Make sure your brakes are working well.",
18,"Radio off, torque in low speed. The tyres, whatever, okay. Fine. Radio off, torque in low speed. Who's on all the tyres in front of me? Leclerc, five lap older.",
2,Make sure this time we do the undercut.,
2,I don't have the pace here. Copy. Keep managing your tyres. 14 to go.,
2,There's no point me just driving around slow on your train couch.,
2,Is Alex okay? Alex is okay. Alex is okay.,
2,"Where's Bortas? Bortas has retired, no threat.",
2,Front left is struggling a little.,
2,"If Perez gets behind me, how do you want me to race him? It's Monaco, so you're racing 100%. Remember it's Monaco.",
2,Front right is cold. The only way to help that at the moment is maybe you can do brake warm up.,
2,What was that? Go race. Go race. Head down. Head down. Everybody saw it.,
2,"I'll recover them, recover them. Target the Lyco, watch out you slip.",
2,"You okay? You okay? No, I crashed. I don't know what happened, man. Something failed on the front right when I hit the curb.",
20,"At the moment, assuming no change on front wing. Correct.",
20,Sorry for the place of the car.,
20,"Again, the tires came out of the blankets cold. Copy that, Gav.",
20,"No front wing, no front wing just. Okay, on the next time through we won't be able to do a front wing adjust letting you know, okay? In that case, let's try and go down 0.5.",
20,should be very light at this stage if any at all.,
20,"We're going to box for full wets Kev, we're going to box for full wets.",
20,"So these wets are cold, Kerb, there's no use back wets. Front wing, front wing.",
20,"Okay Kev, to make the car less snappy on power we're going to suggest DX2.",
20,"No issues on brakes Kev, no issues on brakes.",
20,So we try another point for to we have time for yes we can do that,
20,"Keep looking after tyres Kev, all good.",
20,Just let me know what I need to do.,
20,possible rain in 15 minutes possible rain in 15 minutes,
20,"So entering the pit lane and stopping in order, there are still eight laps to go at the end of this one.",
20,"Okay, Kev, so it's intermediate tyres for the restart behind the safety car.",
20,"Yeah, I guess you've had two laps behind the safety car and then a rolling start.",
20,"Okay Kev, boxing this lap, do you want a front wing adjustment? No front wing adjusts, no front wing adjusts. Copy that, so driving through the pit lane to do another lap.",
20,"Expecting the most intense rain turn 13, 14.",
20,"But we still need to pit if we get a gap, because if there's more rain then these tyres are going to be f***ed. Copy, understood.",
20,"Use wet patches where possible, Curve. Use wet patches where possible and VC1, please. VC1. I'm not hearing anything about the gap, dude. Sorry, the gap to stopping, you'll come out in front of... Standby. You'll come out P12 if you stop now.",
20,"For reference Kev, Nico is carrying more speed through 7, 8 and 13 just for reference.",
20,"Hamilton has DRS, you do not.",
20,Need to get into Joe's DRS if possible Kev. He has DRS from Piastri unfortunately.,
21,"Yeah, my tie is a ****.",
21,"Organic heads up, we have a sail of rain developing around 10 minutes from the track. We keep an eye on it.",
21,"Box, box, box, box, and keep the pace up for timing soon.",
21,"I think we can look after the rear tires a bit more in Exit Turn 11, it's the worst place, Exit Turn 11.",
21,"Okay, Albon has pit it for hard, mode 3 when you can. Next car is Botas 5 behind.",
21,Copy that. On-drink system test before you jump out.,
22,"Hey Yuki, if you have one or two hands in your pocket, it's the moment to use it now.",
22,Yuki is difficult for everybody. You're doing a good job.,
22,"Yuki, we need to find some paces, mainly under braking. Let's do your best, I know it's difficult. I know, but this brake sucks! Offset 5, build it up under braking. You can do it. Are you trying to crush me or what?",
22,"Break is unreal, man.",
22,You hear rain is coming last corner. If it's heavy rain we are happy you to call the box.,
22,"Oh, there's a reset. Oh my god. Sorry, I have to remote.",
23,It's very windy.,
23,"My main thing is just to try to get this dash to work because my numbers are all wrong on the dash. The entire temps. Yeah, if you help out, we'll have a chat.",
23,"Car feels pretty good. It feels like exactly as we left off yesterday. The same balance. It's a bit neutral in 3 and 4 but then I think that's good for the low speed stuff. I feel quite good on the brakes so I think we just need to keep it like this. Will you hear me? Yes, it is. You don't have to ruin in. Let's take a review. There you go. There it is. It's fine.",
23,"So it's currently 42 laps to go, potential risk of rain with about 20 laps to go.",
23,The Tsunade is struggling on brakes.,
23,"All these brake changes, you're changing the way the car is feeling every single time.",
23,"So Alex, we're going to get at least 10 minutes warning. If you want to jump out of the car, you can.",
23,Mode 9 when you can for performance.,
23,"Okay, six cars have pity for Inter but our aim is still to survive. Just three laps.",
23,"and then Magnussen behind on Inter. So Alex, this is really good. These guys are going to have to pit again soon for dry.",
23,"HPP on, HPP on, and some people are now putting back onto drys, they're going to struggle with warm up.",
23,Alex we have a slow left front puncture.,
23,"So starting lap 21, our current plan is plan B plus 10, plan B plus 10. But that should be achievable.",
23,"What the f*** was that? Copy Alex, we saw it. We're on it.",
23,Can we also just check my seat? There's a bit of heat coming up from around my bum.,
23,"Alex, we're in a really good place, so we're still extending. This is an awesome job.",
23,"As soon as you get within half a second, it's incredible how little fight we have.",
23,"Carpill's a bit lazy, that's my main feeling right now. Copy that.",
24,WARNING FROM BREAK SPOT,
24,Drivers reporting strong wind and gusts.,
24,"My third break, guys, cut off really fast.",
24,Have a look at the mobile 30-bike over the market.,
24,Massive vibration.,
24,"Brakes are normal now Joe, full push now. Brakes are okay.",
24,"My brakes guys, unbelievable. I can't get it close. I cannot put the pedal. Enough.",
24,The only thing I can do with these breaks is after this aftermath. The more I get in 2 seconds I'm lucky.,
24,"Okay, sick, last mile. Have a job, have a job. We're looking at it.",
24,"It's okay, a bit of understand midcon and active sliding.",
24,Are we racing to win him for head or not?,
24,Try to push turn 12. Minus 3 on target.,
24,Try to do a step turn 5 to turn 8 with the steering trace.,
24,Are we a little bit stuck here or not?,
24,"Joe on tires, we need another step turn 18 and turn 19.",
24,"It can be less than that, it's difficult to turn man.",
24,"Check my front right, I've cleared the wall but it's still good Copy, checking front right",
24,The cable is getting stuck a little bit like last year. Make sure we can get it fixed. Cabotro wheel will fix.,
24,"I don't think it's a little bit of smoke in the back of the night. Copy, we're checking.",
24,The rear is going after the two push. Copy.,
27,"I feel like I've got some pace today, compared to these guys.",
27,Copy that. Soft runners have started boxing. We'll look at the traction.,
27,"Hi, Nico. So the rear temp has peaked, the surface temp has peaked, so hopefully some of it will come back a little bit on the rear.",
27,"Okay, Nico, the people who stopped earlier are pretty quick. Albon 3.7 behind, so let's use the tire now.",
27,Jesus though William was quick on the street.,
27,"There is quite a bit of smoke, but the power is not delivering. It's an issue.",
27,"Niko, very good job. You are closing up on everyone ahead now. This pace is amazing.",
27,Kevin ahead is still on drives very slow.,
27,You can use right toggle turn one to stabilize. We're currently P17 so we still need some miracles but this pace is excellent.,
27,I think I hit or picked up some debris there out of the tunnel. Fell on the front wing.,
27,"Okay, Nico, we'll check. Data is okay. We'll check the video too.",
27,"I'm trying to save tires as much as possible now, but let me know if I need to push up and I'm in front again, if someone fits.",
27,Sergeant's blocking for Elbon.,
27,Sergeant is holding everyone up. Kevin just got around Sergeant. So now it's Sergeant Stroll Perez-Joe Yu.,
27,Very good. Perez is 7 ahead.,
27,"I struggle to think we get to the end with this. So, uh...",
27,"A lot of understeer creeping in, all speeds but also traction getting very poor.",
27,"Okay, press IN button, cool the car, go to the grid, test your drink, and a static bite point learn when you arrive on the grid. See you there.",
27,"Turn 7-8 was good, it's 4. And then with the rain coming like 9 laps away, let's make this tire for 9 laps, get the lap time out of it.",
27,"We may have dropped soon, the big rain is 5 minutes away.",
27,"Great job, Nico. Just tell us everything you can about the conditions. We want to get on the right tire at the right time.",
27,"Box now, Nico. Box now.",
27,"So weather-wise, there is rain building, sometimes it disappears, so we're kind of prepared for that with our tire choice. Okay, and then we went through all the data and what is happening with our tires, we've reverted the laps to grid adjust. It was just too much, it took out too much front, and then we've corrected for the tire compound for the race start. So we basically used the first lap, first lap air balance, and then just corrected for delta, for our tire? Yeah, that's correct.",
27,"Yeah, loud and clear. Okay, so it's restarting on an inter. We go two minutes early, along with all these people, to unlap ourselves. There'll be two total laps under the safety car, and then six racing laps remaining after that. Okay, so we're still on our interbalance and inter switches, which is all fine.",
27,In two or three minutes we'll probably have light drizzle for a few minutes.,
27,"Okay, that's two times past safety car line one, so you can catch the pack. The main pack is going into seven. Okay, Nikos, good job on brakes. You're with the pack now. So the people who have stopped is Bottas onto medium, Stroll onto medium, you and Lawson onto medium, and Russell's gone under hard. Other people have not stopped yet, they're all still on soft. The next rain, if it comes, would be in like 25 laps. So we'll see what happens there, otherwise we'll just see how long we can take this tire.",
27,"Do you want to flap adjust, Nico? Not really, but it's new sticky tires. Let's maybe try, which way would you go? I would take off, yeah. I would try less, I guess, and see what it feels like. Okay, copy. Take half percent down. Turn 10 feels pretty low in grip, like tailwind, I think. The rear is pretty unhappy there. Yes, on the tailwind into 10. Also 1 and 6 and 7 are tailwind. Okay, so we've taken off 0.5. We'll get a feel. One more grid. Go to the grid after this. Close the radio, Gary. It's too loud.",
27,"See you turn 10 is unbelievable. And I know it was 5 left, I'm saying. Yeah, understood. Maybe try 10 without the left toggle just to see what it does.",
27,Albon will be coming out on a medium.,
27,"I feel like I've lost brake efficiency. Oh, they're cold. Brake temps are okay, we're checking everything.",
3,Consider EB11 one step less. EB11.,
3,"Okay, yeah, debris hit my rear wing. It's broken. Yeah, I tried to miss it. I think it was a piece of a tire in the air. But it got my rear wing. Yeah, copy that.",
3,Thank you guys for repairing the cow.,
3,"Does Yuki have a problem or he made a mistake? Made a mistake, made a mistake. Let's try to clear Sergeant and then we help Yuki.",
3,"Turn 10 with the tailwind, we'll have to look after it there. Yeah, no worries. I was exploring a bit as well.",
31,"Okay, let's be clever. Your choice.",
31,"It is a tailwind into the last chicane, yeah. Round turn 16-17.",
31,Attraction is pretty full. Copy that. There are 20 laps remaining.,
31,"The grip of the steering wheel is falling apart. It's okay for this race, but I think next one we need a refurnish or something.",
31,"Okay, understood. We'll fault that.",
31,"Fail B02, OK, urgent.",
31,This is new material so I wouldn't be surprised if it just takes a lap or two to bed in. I wouldn't be too alarmed at the moment. We'll keep looking.,
31,"I think balance was not too bad. It's a bit more grip than yesterday. A bit more loose at the exit of turn seven. Okay, mate, we will speak to you shortly when you jump out. Yeah, and the brakes, the brakes is usually straight away good, so it's not normal that it's not good at all to start with. Okay, understood.",
31,18 laps to go. We think we can get Russell here. Let's keep pushing.,
31,"Do you see anything with the brakes? We're still looking at Esteban, same feeling as the previous lap, question? Little bit better but not by much. Okay, I understood this is...",
31,Any signs of graining on any car on the hub? Only very small amounts later in the stint.,
31,"If anything, S-Bahn, we think the limitation will be the front left tyre, so let's try and keep on top of that with switchers if we can.",
31,"Clutch drop absolutely spot on, same again please.",
31,"Yeah, it's raining quite heavy now. Copy that. Next two cars in front of Perez and Albon.",
31,"Possible debris 567, stay on line.",
31,"Right, temps are good, push at this entry.",
31,"There's a yellow flag after turn one, could be debris.",
31,"There was no space for both of us there so... Yeah, copy that.",
31,"Sainz has a piece of wing hanging, no?",
31,"Tell me when you want maximum pace. Yeah, will do. Keep what you're doing for now, please. Ferrari are getting frustrated behind. Keep it up.",
31,possible rain in 15 minutes only light,
31,"This is going to be very, very heavy rain Esteban, massive.",
31,"Okay, mate, we need scenario five. This is going to be extremely heavy rain. It's going to get much, much heavier.",
31,"This is the world's decision, guys.",
31,Taking a chance.,
31,"Okay mate, half the field have not pitted, they're all bunched up between 11 and 13. We can get a load of people here.",
31,"Okay mate, so it'll be recharge on at turn 7 this time. How's the balance please? Balance is okay so far. Okay mate, keep your pace up and go to the grid please, go to the grid. Okay mate, and if you can test your drinks kit if you haven't already as well. Okay, go to the back of the grid, come to a stop and go to P1.",
31,"Safety car, safety car, stay out, stay out.",
31,"There's a bit of a weird shift, 6 to 7, on the last corner. Copy that, we'll have a look.",
31,"Okay mate, some of these switch changes are related to that shift, we're trying to improve it.",
31,"If Sainz in front is pitted, that puts us P6 at the moment.",
31,"Are we doing max push on these tyres? Status 3 for now please, Norris 1.4 behind, 26 laps to go.",
31,"The bind point find didn't work, the first one. Okay man, understood. We'll have a look at that.",
31,"No, no!",
31,"Any final comments on balance or ride? Very easy, very very easy. We ride at the moment. The car is very comfortable.",
4,"Okay Lando, what is the pace? What is the pace? Oh man! Oh, yep, oh good. P-zero mate.",
4,one and a half and down one and a half down,
4,"Digestion, yellow G2 Yeah, none of this is helping mate Ok mate, we are trying here our best as well Yeah, I can understand Ok",
4,suggestion green f2 green f2,
4,Up three.,
4,"Oh, I don't know. Three down, three whatever. Doesn't make a difference.",
4,"Yeah, Rhea's already struggling a bit. Uh, taste a lot.",
4,"Yeah, I'm gonna start to make some mistakes with the tires.",
4,"Let's pick up the base land a little bit. Yeah, yeah. Okay, thank you.",
4,"Ok Lando, a mix of medium and hard starters. On medium Verstappen, Ocon, Hamilton, Zunoda in front of you, behind Debris, Albon, Sergent and the back of the grid Julke Mugger and Perez. On a hard Alonso, Sainz, Leclerc, Gasly, Russell in front of you, behind you Oscar, Stroll, Bottas and Mansell.",
4,"Yeah, like, people are racing against me. I know, I know. The car you're racing is Sainz, 48 seconds. Oh, sick.",
4,I suggest red a7 red a7 you're one of the quickest cars out there,
4,"Happy to do less, Lyco.",
4,"Tsunoda struggling with front left, Lando possible rain, class 1 on lap 35.",
4,"Lando, possible rain, class 1 on lap 35.",
4,"How's the balance? How's the balance? Well, not great obviously. The front grainings is hard to not get. The raise you have to manage a bit but the front grainings is the bigger problem.",
4,"Yeah, but I'm just so sh**ing low in the middle, so I can't do anything.",
4,"I'm gonna need to change my helmet and everything anyway so it's fine to get out. Still raining so it's not gonna restart anytime soon. Were you talking? Like I didn't hear anything. Can you hear me? Yeah, no, okay. Okay, sorry we are losing the connection on my belt pack. You can jump out if you... Yeah, okay.",
4,"Okay, Lando, the rain is easy enough. Can you keep the car on track? Yeah, yeah, yeah.",
4,"The box mate, we're too slow We are faster than Intest cars What the f- are you f***ing stupid mate? BOX! Land in pit lane!",
4,"Suggestion, green f3, green f3, we think rain will come in the next one two laps, it will hit turn one first, it will be light. Yeah, it's already in turn one.",
4,"Russell 1.1, Hamilton 2.2. Yeah, I got it, I can see that.",
4,"I'm not going to do that. I'm not going to do that. I'm not going to do that. I'm not going to do that. Let's go! Well done. Oh, ****! I hit the wall! OK, just bring it back carefully. I don't know. Let's go.",
4,"Lewis needs to give the position back. He just brakes way too late. He committed to it, so he needs to give two positions back. Understood, Landon. We've already raised it with the race director. Yeah, but they're going to do it for George, but he just committed to going off, so of course he could brake a lot later than me, you know.",
